chunckID,start_time,pos,tag
399,00:31:02.569,"[['복수/NNG', '에/JKM'], ['눈/NNG', '이/JKS'], ['멀/VA', '어/ECD']]","[['NNG', 'JKM'], ['NNG', 'JKS'], ['VA', 'ECD']]"
400,00:31:07.240,"[['어찌/MAG'], ['지내/VV', '었/EPT', '느냐/EFQ'], ['알/VV', 'ㄴ/ETD'], ['부/NNG'], ['한마디/NNG'], ['건네/VV', '지/ECD'], ['못하/VX', '였/EPT', '다/EFN']]","[['MAG'], ['VV', 'EPT', 'EFQ'], ['VV', 'ETD'], ['NNG'], ['NNG'], ['VV', 'ECD'], ['VX', 'EPT', 'EFN']]"
401,00:31:13.204,"[['그리하/VV', '여도/ECD']]","[['VV', 'ECD']]"
402,00:31:17.709,"[['그리하/VV', '어/ECS'], ['주/VXV', '겠/EPT', '느냐/EFQ', '?/SF']]","[['VV', 'ECS'], ['VXV', 'EPT', 'EFQ', 'SF']]"
403,00:31:46.613,"[['[/SS'], ['파도/NNG', '가/JKS'], ['철썩이/VV', 'ㄴ다/ECS', ']/SS']]","[['SS'], ['NNG', 'JKS'], ['VV', 'ECS', 'SS']]"
404,00:32:01.377,"[['속도/NNG'], ['없이/MAG'], ['이런/MDT'], ['풍경/NNG', '을/JKO'], ['보/VV', '니/ECD'], ['좋/VA', '습니다/EFN']]","[['NNG'], ['MAG'], ['MDT'], ['NNG', 'JKO'], ['VV', 'ECD'], ['VA', 'EFN']]"
405,00:32:06.716,"[['나/NP', '는/JX'], ['네/MDN'], ['가/NNG'], ['속도/NNG'], ['없이/MAG'], ['이런/MDT'], ['풍경/NNG', '을/JKO'], ['보/VV', '는/ETD'], ['것/NNB', '이/JKS'], ['좋/VA', '다/EFN']]","[['NP', 'JX'], ['MDN'], ['NNG'], ['NNG'], ['MAG'], ['MDT'], ['NNG', 'JKO'], ['VV', 'ETD'], ['NNB', 'JKS'], ['VA', 'EFN']]"
406,00:32:15.600,"[['[/SS'], ['사람/NNG', '들/XSN', '이/JKS'], ['쩝쩝/MAG'], ['거리/VV', 'ㄴ다/ECS', ']/SS']]","[['SS'], ['NNG', 'XSN', 'JKS'], ['MAG'], ['VV', 'ECS', 'SS']]"
407,00:32:19.312,"[['[/SS'], ['선원/NNG'], ['1/NR', '의/JKG'], ['만족/NNG', '스럽/XSA', 'ㄴ/ETD'], ['신음/NNG', ']/SS']]","[['SS'], ['NNG'], ['NR', 'JKG'], ['NNG', 'XSA', 'ETD'], ['NNG', 'SS']]"
408,00:32:23.107,"[['[/SS'], ['쩝쩝/MAG'], ['거리/VV', 'ㄴ다/ECS', ']/SS']]","[['SS'], ['MAG'], ['VV', 'ECS', 'SS']]"
409,00:32:28.738,"[['(/SS'], ['김/NNG'], ['신/NNG', ')/SS'], ['자/NNG']]","[['SS'], ['NNG'], ['NNG', 'SS'], ['NNG']]"
410,00:32:35.453,"[['전/NNG'], ['아직/MAG'], ['배가/NNG'], ['부르/VV', '니/ECD'], ['나리/NNG'], ['들/VV', '시/EPH', 'ㅂ시오/EFN']]","[['NNG'], ['MAG'], ['NNG'], ['VV', 'ECD'], ['NNG'], ['VV', 'EPH', 'EFN']]"
411,00:32:41.209,"[['먹/VV', '은/ETD'], ['것/NNB', '이/JKS'], ['없/VA', '는데/ECD'], ['어찌/MAG'], ['배가/NNG'], ['부르/VV', 'ㄹ까/EFQ', '?/SF']]","[['VV', 'ETD'], ['NNB', 'JKS'], ['VA', 'ECD'], ['MAG'], ['NNG'], ['VV', 'EFQ', 'SF']]"
412,00:32:43.419,"[['(/SS'], ['아이/NNG'], ['2/NR', ')/SS'], ['저/NP', '는/JX'], ['작/VA', '아서/ECD'], ['조금/NNG', '만/JX'], ['먹/VV', '어도/ECD'], ['배/NNG', '가/JKS'], ['부르/VV', 'ㅂ니다/EFN']]","[['SS'], ['NNG'], ['NR', 'SS'], ['NP', 'JX'], ['VA', 'ECD'], ['NNG', 'JX'], ['VV', 'ECD'], ['NNG', 'JKS'], ['VV', 'EFN']]"
413,00:32:47.215,"[['나리/NNG', '는/JX'], ['크시/NNG', '니/JC'], ['나리/NNG'], ['들/VV', '시/EPH', 'ㅂ시오/EFN']]","[['NNG', 'JX'], ['NNG', 'JC'], ['NNG'], ['VV', 'EPH', 'EFN']]"
414,00:32:52.762,"[['(/SS'], ['김/NNG'], ['신/NNG', ')/SS'], ['그럼/MAG'], ['이러/VV', '면/ECE'], ['되/VV', '겠/EPT', '구나/EFI']]","[['SS'], ['NNG'], ['NNG', 'SS'], ['MAG'], ['VV', 'ECE'], ['VV', 'EPT', 'EFI']]"
415,00:32:54.973,"[['육지/NNG', '까지/JX'], ['멀/VA', '었/EPT', '습니다/EFN']]","[['NNG', 'JX'], ['VA', 'EPT', 'EFN']]"
416,00:32:57.475,"[['(/SS'], ['아이/NNG'], ['2/NR', ')/SS'], ['나누/VV', '어/ECS'], ['먹/VV', '어서/ECD', '는/JX'], ['누구/NP', '도/JX'], ['배부르/VA', '지/ECD'], ['않/VXV', '습니다/EFN']]","[['SS'], ['NNG'], ['NR', 'SS'], ['VV', 'ECS'], ['VV', 'ECD', 'JX'], ['NP', 'JX'], ['VA', 'ECD'], ['VXV', 'EFN']]"
417,00:33:01.062,"[['[/SS'], ['잔/XPN', '잔한/NNG'], ['음악/NNG', ']/SS'], ['그래서/MAC'], ['네/MDN'], ['가/NNG'], ['굶/VV', '겠/EPT', '다는/ETD'], ['말/NNG', '이/VCP', '냐/EFQ', '?/SF']]","[['SS'], ['XPN', 'NNG'], ['NNG', 'SS'], ['MAC'], ['MDN'], ['NNG'], ['VV', 'EPT', 'ETD'], ['NNG', 'VCP', 'EFQ', 'SF']]"
418,00:33:03.564,"[['(/SS'], ['아이/NNG'], ['2/NR', ')/SS'], ['정/NNG'], ['배고프/VV', '면/ECE'], ['저/NP', '는/JX'], ['뱃일/UN', '을/JKO'], ['하/VV', '고/ECE'], ['조금/NNG'], ['얻어먹/VV', '으면/ECD'], ['되/VV', 'ㅂ니다/EFN']]","[['SS'], ['NNG'], ['NR', 'SS'], ['NNG'], ['VV', 'ECE'], ['NP', 'JX'], ['UN', 'JKO'], ['VV', 'ECE'], ['NNG'], ['VV', 'ECD'], ['VV', 'EFN']]"
419,00:33:09.028,"[['널/NNG'], ['얻어먹/VV', '게/ECD'], ['하/VV', '려고/ECD'], ['데리/VV', '고/ECE'], ['오/VV', 'ㄴ/ETD'], ['줄/NNB'], ['알/VV', '느냐/EFQ', '?/SF']]","[['NNG'], ['VV', 'ECD'], ['VV', 'ECD'], ['VV', 'ECE'], ['VV', 'ETD'], ['NNB'], ['VV', 'EFQ', 'SF']]"
420,00:33:12.156,"[['날/NNG'], ['믿/VV', '어라/EFO']]","[['NNG'], ['VV', 'EFO']]"
421,00:33:14.409,"[['낳/VV', 'ㄴ/ETD'], ['네/XSN', '가/JKS'], ['생각/NNG', '하/XSV', '는/ETD'], ['것/NNB', '보다/JKM'], ['더/MAG'], ['큰사람/NNG'], ['일지/NNG', '도/JX'], ['모르/VV', '니/ECD']]","[['VV', 'ETD'], ['XSN', 'JKS'], ['NNG', 'XSV', 'ETD'], ['NNB', 'JKM'], ['MAG'], ['NNG'], ['NNG', 'JX'], ['VV', 'ECD']]"
