chunckID,start_time,subtitles
256,00:19:28.792,"['[발걸음 소리가 울린다]\n', '\n']"
257,00:19:32.087,"['[흥미진진한 음악]\n', '\n']"
258,00:19:33.797,"['[새들이 푸드덕거린다]\n', '\n']"
259,00:19:49.563,"['[의미심장한 효과음]\n', '\n']"
260,00:19:51.899,"['[의미심장한 효과음]\n', '\n']"
261,00:19:55.235,"['[의미심장한 효과음]\n', '\n']"
262,00:20:05.662,"['[타이어 마찰음]\n', '\n']"
263,00:20:17.257,"['아이씨, 이런 미친 새끼가, 씨\n', '\n']"
264,00:20:20.761,"['(남자3)\n', '아이, 눈깔은 장식이냐? 씨\n', '\n']"
265,00:20:23.347,"['뒈지려고, 씨...\n', '\n']"
266,00:20:26.266,"['[의미심장한 음악]\n', '\n']"
267,00:20:27.935,"['(남자3)\n', '너 이 새끼\n', '\n']"
268,00:20:30.270,"['뭐야?\n', '\n']"
269,00:20:36.235,"['멧돼지\n', '\n']"
270,00:20:41.031,"['뭐?\n', '\n']"
271,00:20:46.828,"['너는 멧돼지를 받은 것이다\n', '\n']"
272,00:20:57.881,"['[신비로운 효과음]\n', '\n']"
273,00:20:59.174,"['[타이어 마찰음]\n', '\n']"
274,00:21:05.764,"['괜찮으세요? 신고해 드릴까요?\n', '\n']"
275,00:21:09.893,"['제가요, 멧돼지를 쳐 가지고요\n', '\n']"
276,00:21:13.188,"['(남자3)\n', '그러니까 갑자기\n', '멧돼지가 튀어나와 가지고\n', '\n']"
277,00:21:16.483,"['멧, 멧돼지요? 강, 강남 한복판에?\n', '\n']"
278,00:21:18.568,"['[사람들의 비명]\n', '\n']"
279,00:21:21.280,"['[긴장되는 효과음]\n', '[남자4의 놀라는 신음]\n', '\n']"
280,00:21:22.447,"['[남자4가 횡설수설한다]\n', '\n']"
281,00:21:24.533,"['[사람들이 웅성거린다]\n', '\n']"
282,00:21:27.327,"['(남자5)\n', '여보세요, 네, 거기 112죠?\n', '여기 역삼 사거리인데요\n', '\n']"
283,00:21:31.039,"['트렁크에 여자가\n', '죽, 죽은 것 같아요, 예\n', '\n']"
284,00:21:33.542,"['모르겠어요, 지금 움직임이 없어요, 예\n', '[여자의 놀라는 숨소리]\n', '\n']"
285,00:21:35.460,"['[여자의 비명]\n', '[차분한 음악]\n', '\n']"
286,00:21:36.461,"['정확한 건 모르겠어요\n', '그냥 교통사고 나 가지고 그런 건지\n', '[여자의 떨리는 신음]\n', '\n']"
287,00:21:39.339,"['상황을 정확하게 모르겠어요\n', '빨리 와 주셔야 될 것 같아요, 네\n', '\n']"
288,00:21:42.467,"['(여자)\n', '내가 왜...\n', '[남자5가 통화한다]\n', '\n']"
289,00:21:45.137,"['내가 왜 저기...\n', '[떨리는 숨소리]\n', '\n']"
290,00:21:47.222,"['(저승사자)\n', '황미영, 25세\n', '\n']"
291,00:21:49.975,"['계축년 정사월 을사일 신사시 출생\n', '\n']"
292,00:21:53.729,"['무인년 을묘월 기묘일\n', '08시 32분 사망\n', '\n']"
293,00:21:58.984,"['사인, 질식사\n', '\n']"
294,00:22:05.490,"['본인 맞으시죠?\n', '\n']"
295,00:22:12.039,"['[저승사자가 다기를 달그락거린다]\n', '\n']"
296,00:22:29.681,"['마셔요\n', '\n']"
297,00:22:31.141,"['이승의 기억을 잊게 해 줍니다\n', '\n']"
298,00:22:46.323,"['안 마시면\n', '\n']"
299,00:22:49.576,"['어떻게 되는데요?\n', '\n']"
300,00:22:51.578,"['안 마신 걸 후회하게 되겠죠\n', '\n']"
301,00:22:54.539,"['어떤 후회든 부디 이승에서만 하시길\n', '\n']"
302,00:23:01.880,"['[풍경이 울린다]\n', '\n']"
303,00:23:21.691,"['[신비로운 음악]\n', '\n']"
304,00:23:32.869,"['[새가 지저귄다]\n', '\n']"
305,00:23:53.932,"['도깨비?\n', '\n']"
306,00:23:56.393,"['저승사자?\n', '\n']"
307,00:24:01.690,"['매우 상스러운 갓을 썼군\n', '\n']"
308,00:24:22.419,"['[잔잔한 음악]\n', '\n']"
309,00:24:58.580,"['(유 회장)\n', '나리\n', '\n']"
310,00:25:07.839,"['20년 만에 뵙습니다\n', '\n']"
311,00:25:10.884,"['그간 무고하셨사옵니까?\n', '\n']"
312,00:25:14.554,"['그대도 무탈하였는가?\n', '\n']"
313,00:25:16.973,"['전 많이 늙었지요\n', '\n']"
314,00:25:20.560,"['(유 회장)\n', '나리는 여전히 멋지십니다\n', '\n']"
315,00:25:23.480,"['[유 회장의 웃음]\n', '\n']"
316,00:25:25.607,"['별로 안 멋진데?\n', '\n']"
317,00:25:28.193,"['씁, 이놈\n', '\n']"
318,00:25:30.779,"['(유 회장)\n', '서신으로 아뢰었듯 그 손주 놈입니다\n', '\n']"
319,00:25:34.658,"['인사 올리거라\n', '\n']"
320,00:25:36.826,"['이 아저씨 누군데?\n', '\n']"
321,00:25:39.037,"['네가 덕화구나\n', '\n']"
322,00:25:40.872,"['(김신)\n', '나는 그대의 삼촌이었다가 형제였다가\n', '\n']"
323,00:25:43.750,"['아들이었다가 손자가 될 사람이다\n', '\n']"
324,00:25:49.881,"['잘 부탁한다\n', '\n']"
325,00:25:52.300,"['그게 뭐야?\n', '\n']"
326,00:25:53.635,"['[익살스러운 음악]\n', '점점 수상해\n', '\n']"
327,00:25:55.387,"['(유 회장)\n', '이놈!\n', '\n']"
328,00:25:57.514,"['아이고, 송구합니다\n', '\n']"
329,00:26:00.350,"['4대 독자라 오냐오냐했더니만\n', '\n']"
330,00:26:06.189,"['[밝은 음악]\n', '\n']"
331,00:26:08.358,"['한데 넌...\n', '\n']"
332,00:26:10.110,"['나? 왜?\n', '\n']"
333,00:26:13.280,"['고려에서 태어나\n', '이국땅에 잠든 이가 있었다\n', '\n']"
334,00:26:18.201,"['그대의 먼 조상이다\n', '\n']"
335,00:26:21.538,"['그 아이와 꼭 닮았구나\n', '\n']"
336,00:26:23.081,"['(어린 덕화)\n', '어디가?\n', '\n']"
337,00:26:24.624,"['그 조상 잘생겼어?\n', '\n']"
338,00:26:27.043,"['(유 회장)\n', '씁, 이놈아\n', '\n']"
339,00:26:29.838,"['어디서 이런 놈이 태어났는지\n', '면목 없습니다, 나리\n', '\n']"
340,00:26:34.551,"['(김신)\n', '괘념치 말아라\n', '\n']"
341,00:26:36.344,"['그대 가문의 그 누구도\n', '실망스러웠던 적 없으니\n', '\n']"
